Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
sec21,-0.0025,0,-1.7347E-18,0,0,0,0.01398,6.99E-07,-4.9079E-24,4.9079E-24,3.7863E-07,-5.6748E-24,3.7863E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec21.STL,0.53725,0.34902,0.33725,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec21.STL,,soliddisk-32,Coordinate System21,Axis_joint21,joint21,revolute,-0.016,-0.005,0,0,0,0,base_link,1,0,0,100,0,-1.571,1.571,,,,,,,,
sec22,-0.0025,0,-1.73472347597681E-18,0,0,0,0.0139800873084746,6.99004365423729E-07,-2.45396915057398E-24,1.47238149034439E-23,3.7862736460452E-07,-1.71777840540179E-23,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec22.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec22.STL,,soliddisk-33,Coordinate System22,Axis_joint21,joint22,fixed,-0.01,0,0,0,0,0,sec21,1,0,0,100,0,-1.571,1.571,,,,,,,,
sec23,-0.0025,0,-1.73472347597681E-18,0,0,0,0.0139800873084746,6.99004365423729E-07,7.42721469750038E-39,1.96317532045918E-23,3.7862736460452E-07,-1.71777840540178E-23,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec23.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec23.STL,,soliddisk-34,Coordinate System23,Axis_joint21,joint23,fixed,-0.01,0,0,0,0,0,sec22,1,0,0,100,0,-1.571,1.571,,,,,,,,
sec24,-0.0025,0,-1.73472347597681E-18,0,0,0,0.0139800873084746,6.99004365423729E-07,-4.90793830114797E-24,4.90793830114797E-24,3.7862736460452E-07,-1.71777840540179E-23,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec24.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec24.STL,,soliddisk-35,Coordinate System24,Axis_joint21,joint24,fixed,-0.01,0,0,0,0,0,sec23,1,0,0,100,0,-1.571,1.571,,,,,,,,
sec25,-0.0025,0,-1.73472347597681E-18,0,0,0,0.0139800873084746,6.99004365423729E-07,7.42721469750038E-39,1.96317532045918E-23,3.7862736460452E-07,-1.71777840540178E-23,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec25.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec25.STL,,soliddisk-36,Coordinate System25,Axis_joint21,joint25,fixed,-0.01,0,0,0,0,0,sec24,1,0,0,100,0,-1.571,1.571,,,,,,,,
sec26,-0.0025,0,-1.73472347597681E-18,0,0,0,0.0139800873084746,6.9900436542373E-07,-2.45396915057398E-24,1.47238149034439E-23,3.7862736460452E-07,-5.67480366070235E-24,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec26.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec26.STL,,soliddisk-37,Coordinate System26,Axis_joint21,joint26,fixed,-0.01,0,0,0,0,0,sec25,1,0,0,100,0,-1.571,1.571,,,,,,,,
sec27,-0.0025,0,-1.73472347597681E-18,0,0,0,0.0139800873084746,6.9900436542373E-07,-2.45396915057398E-24,1.47238149034439E-23,3.7862736460452E-07,-5.67480366070235E-24,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec27.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec27.STL,,soliddisk-38,Coordinate System27,Axis_joint21,joint27,fixed,-0.01,0,0,0,0,0,sec26,1,0,0,100,0,-1.571,1.571,,,,,,,,
sec28,-0.00249999999999999,0,-1.73472347597681E-18,0,0,0,0.0139800873084746,6.9900436542373E-07,-2.45396915057398E-24,1.47238149034439E-23,3.7862736460452E-07,-5.67480366070235E-24,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec28.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec28.STL,,soliddisk-39,Coordinate System28,Axis_joint21,joint28,fixed,-0.01,0,0,0,0,0,sec27,1,0,0,100,0,-1.571,1.571,,,,,,,,
sec29,-0.0025,0,-1.73472347597681E-18,0,0,0,0.0139800873084746,6.9900436542373E-07,-2.45396915057398E-24,1.47238149034439E-23,3.7862736460452E-07,-5.67480366070235E-24,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec29.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec29.STL,,soliddisk-40,Coordinate System29,,joint29,fixed,-0.01,0,0,0,0,0,sec28,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec30,-0.00986190762280909,-5.20417042793042E-18,1.38777878078145E-17,0,0,0,0.0573263557938968,2.91661427121802E-06,-1.15557336410707E-22,1.68922829709981E-22,2.24174718695487E-06,-7.28394512748056E-23,2.24174718695487E-06,0,0,0,0,0,0,package://fullurdf3/meshes/sec30.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec30.STL,,soliddisk-41;ballfeet-2,Coordinate System30,Axis_joint30,joint30,fixed,-0.01,0,0,0,0,0,sec29,0,0,0,100,0,-1.571,1.571,,,,,,,,
